[15:12:9  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:9  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:11  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:11  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:15  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:15  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:16  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:16  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:17  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:17  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:21  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:21  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:22  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:22  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:24  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:24  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:25  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:25  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:26  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:26  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:28  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:28  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:30  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:30  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:32  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:32  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:32  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:32  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:33  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:33  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:35  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:35  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:36  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:36  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:38  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:38  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:40  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:40  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:41  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:41  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:43  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:43  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:45  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:45  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:47  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:47  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:48  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:48  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:49  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:49  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:51  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:51  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:52  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:52  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:53  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:53  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:55  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:55  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:56  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:56  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:57  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:57  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:58  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:58  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:12:59  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:12:59  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:13:0  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:13:0  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:13:1  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:13:1  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:13:2  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:13:2  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:13:5  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:13:5  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:15:27  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:15:27  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:15:30  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:15:30  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:15:42  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:15:42  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:15:56  2018-8-7] list_directory: Cannot find file/directory1: resource: /uploads/channels.pml, resource_dir: ../uploads/channels.pml
[15:15:56  2018-8-7] send_page: list_directory failed: resource: /uploads/channels.pml, update: false, response: 
[15:15:56  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:15:56  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:15:59  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:15:59  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:3  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:3  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:29  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:29  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:30  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:30  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:31  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:31  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:32  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:32  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:34  2018-8-7] list_directory: Cannot find file/directory1: resource: /uploads/asd, resource_dir: ../uploads/asd
[15:16:34  2018-8-7] send_page: list_directory failed: resource: /uploads/asd, update: false, response: 
[15:16:48  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:48  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:51  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:51  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:52  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:52  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:56  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:56  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:57  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:57  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:57  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:57  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:16:59  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:16:59  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:17:5  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[15:17:5  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[0:6:19  2018-8-9] read_file: malloc failed
[0:6:19  2018-8-9] read_file: Failed to read file: working_dir: /home/luke/projects/home-fs/
[0:6:19  2018-8-9] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[0:6:19  2018-8-9] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[0:6:26  2018-8-9] read_file: malloc failed
[0:6:26  2018-8-9] read_file: Failed to read file: working_dir: /home/luke/projects/home-fs/
[0:6:30  2018-8-9] read_file: malloc failed
[0:6:30  2018-8-9] read_file: Failed to read file: working_dir: /home/luke/projects/home-fs/
[0:6:36  2018-8-9] read_file: malloc failed
[0:6:36  2018-8-9] read_file: Failed to read file: working_dir: /home/luke/projects/home-fs/
[0:6:56  2018-8-9] read_file: malloc failed
[0:6:56  2018-8-9] read_file: Failed to read file: working_dir: /home/luke/projects/home-fs/
[0:16:24  2018-8-9] read_file: malloc failed
[0:16:24  2018-8-9] read_file: Failed to read file: working_dir: /home/luke/projects/home-fs/
